Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2014-09-13;25.7;31.1;16.4;2.7;4.5;9.8;3.2;3.4;0.5;2.7
2014-03-27;26.9;33.2;16.1;2.5;3.4;9.8;3.6;2.0;1.1;1.4
;24.2;31.5;17.9;3.5;5.0;10.2;4.2;1.9;0.2;1.4
2013-07-09;21.9;29.4;17.3;3.2;4.4;13.4;3.2;2.9;1.3;3.0
2013-08-21;18.4;33.6;16.0;1.9;5.9;12.4;6.0;3.9;0.5;1.4
2013-06-22;21.3;35.9;17.9;3.1;4.5;8.7;5.1;0.0;0.7;1.7
2013-03-23;22.3;34.7;18.3;2.7;5.8;10.5;3.1;0.9;0.8;0.9
;22.3;39.3;15.6;3.3;2.7;8.8;5.1;1.5;0.2;1.3
2012-07-09;23.0;37.8;14.7;2.7;3.5;9.7;5.4;1.3;0.7;1.2
2012-03-31;22.4;32.5;17.6;3.9;4.5;12.4;5.3;0.0;0.6;0.8
