Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-23,29.6,29.0,9.3,7.6,3.0,2.6,6.4,5.7,5.5,1.3
2017-06-20,29.0,29.8,6.7,8.1,4.0,3.0,6.9,6.0,4.7,1.8
2017-03-23,32.1,29.2,10.4,6.2,3.4,2.7,5.4,4.4,5.0,1.2
2016-12-19,36.1,28.5,8.4,6.6,1.2,1.9,8.0,5.7,3.5,0.1
2016-09-26,33.5,28.8,9.8,6.1,2.1,2.5,7.3,4.8,4.2,0.9
2016-06-16,33.4,30.0,10.5,6.1,1.0,2.9,6.4,4.6,4.2,0.9
2016-03-19,30.3,30.2,10.7,6.9,0.9,2.6,6.6,6.8,4.6,0.4
2014-02-15,33.8,27.8,9.8,6.4,0.8,2.6,8.0,6.4,3.6,0.9
2013-08-30,27.8,35.0,9.8,6.2,1.3,2.7,7.5,6.2,3.4,0.1
2013-06-21,25.1,30.4,9.1,5.4,0.5,2.7,6.1,3.2,2.8,0.4
2013-06-19,26.3,31.7,9.9,5.6,0.4,2.3,7.0,2.9,2.5,0.7
2013-06-13,31.8,35.3,8.2,5.5,0.5,2.7,6.3,2.2,2.5,0.9
2013-05-14,30.4,36.7,11.4,6.7,0.6,2.3,6.1,2.1,3.4,0.2
2013-05-04,31.5,39.1,8.1,6.5,0.4,2.0,6.4,2.7,2.9,0.3
2013-03-09,25.5,31.7,10.4,9.5,1.1,2.8,6.1,7.6,3.7,0.9
2012-12-20,31.1,38.2,7.3,5.5,0.4,2.5,9.9,1.7,2.6,0.8
2012-09-20,29.6,40.9,6.5,6.1,0.8,1.8,8.3,1.7,3.7,0.6
2012-06-26,31.7,39.1,7.1,6.3,0.3,2.5,7.4,0.0,3.1,2.5
2012-03-28,34.9,37.0,7.9,5.6,0.5,2.3,7.7,0.0,2.2,1.9
2011-12-20,33.6,35.2,7.1,7.2,0.5,3.4,7.9,0.0,2.2,2.9
